Rank,Country,ISO,Index
173,Afghanistan,AFG,0.325
181,Angola,AGO,0.275
55,Albania,ALB,0.774
4,Andorra,AND,0.982
27,United Arab Emirates,ARE,0.886
75,Argentina,ARG,0.722
104,Armenia,ARM,0.63
86,Antigua and Barbuda,ATG,0.688
32,Australia,AUS,0.876
9,Austria,AUT,0.959
109,Azerbaijan,AZE,0.626
143,Burundi,BDI,0.494
21,Belgium,BEL,0.915
97,Benin,BEN,0.647
132,Burkina Faso,BFA,0.543
88,Bangladesh,BGD,0.675
102,Bulgaria,BGR,0.639
42,Bahrain,BHR,0.824
94,Bahamas,BHS,0.657
90,Bosnia and Herzegovina,BIH,0.664
72,Belarus,BLR,0.723
69,Belize,BLZ,0.736
126,Bolivia,BOL,0.571
125,Brazil,BRA,0.573
46,Barbados,BRB,0.808
40,Brunai Darussalam,BRN,0.829
124,Bhutan,BTN,0.575
169,Botswana,BWA,0.338
189,Central African Republic,CAF,0.156
30,Canada,CAN,0.881
20,Switzerland,CHE,0.916
33,Chile,CHL,0.87
144,China,CHN,0.485
137,Cote d'Ivoire,CIV,0.517
164,Cameroon,CMR,0.357
188,Democratic Republis of the Congo,COD,0.171
166,Congo,COG,0.354
107,Cook Islands,COK,0.628
22,Colombia,COL,0.91
118,Comoros,COM,0.592
113,Cape Verde,CPV,0.617
36,Costa Rica,CRI,0.849
39,Cuba,CUB,0.834
24,Cyprus,CYP,0.906
48,Czech Republic,CZE,0.805
25,Germany,DEU,0.902
157,Djibouti,DJI,0.414
35,Dominica,DMA,0.854
34,Denmark,DNK,0.862
51,Dominican Republic,DOM,0.789
81,Algeria,DZA,0.701
111,Ecuador,ECU,0.619
63,Egypt,EGY,0.752
158,Eritrea,ERI,0.399
7,Spain,ESP,0.972
77,Estonia,EST,0.714
180,Ethiopia,ETH,0.276
31,Finland,FIN,0.881
96,Fiji,FJI,0.653
1,France,FRA,0.994
123,"Micronesia, Federated States of",FSM,0.579
139,Gabon,GAB,0.511
18,United Kingdom,GBR,0.925
114,Georgia,GEO,0.615
135,Ghana,GHA,0.522
161,Guinea,GIN,0.385
146,Gambia,GMB,0.482
176,Guinea-Bissau,GNB,0.314
171,Equatorial Guinea,GNQ,0.337
14,Greece,GRC,0.933
85,Grenada,GRD,0.689
78,Guatemala,GTM,0.713
128,Guyana,GUY,0.554
131,Honduras,HND,0.544
43,Croatia,HRV,0.812
138,Haiti,HTI,0.517
66,Hungary,HUN,0.743
92,Indonesia,IDN,0.66
112,India,IND,0.617
19,Ireland,IRL,0.925
93,"Iran, Islamic Republic of",IRN,0.659
103,Iraq,IRQ,0.637
15,Iceland,ISL,0.932
28,Israel,ISR,0.884
2,Italy,ITA,0.991
53,Jamacia,JAM,0.782
83,Jordan,JOR,0.698
10,Japan,JPN,0.957
64,Kazakhstan,KAZ,0.752
140,Kenya,KEN,0.505
151,Kyrgyzstan,KGZ,0.455
174,Cambodia,KHM,0.322
142,Kiribati,KIR,0.495
100,Saint Kitts and Nevis,KNA,0.643
58,Republic of Korea,KOR,0.759
45,Kuwait,KWT,0.81
165,Lao People's Democratic Republic,LAO,0.356
91,Lebanon,LBN,0.664
186,Liberia,LBR,0.2
87,Libyan Arab Jamahiriya,LBY,0.683
68,Saint Lucia,LCA,0.74
76,Sri Lanka,LKA,0.716
183,Lesotho,LSO,0.266
73,Lithuania,LTU,0.722
16,Luxembourg,LUX,0.928
105,Latvia,LVA,0.63
29,Morocco,MAR,0.882
13,Monaco,MCO,0.943
101,Republic of Moldova,MDA,0.639
159,Madagascar,MDG,0.397
147,Maldives,MDV,0.477
61,Mexico,MEX,0.755
141,Marshall Islands,MHL,0.504
89,The former Yugoslav Republic of Macedonia,MKD,0.664
163,Mali,MLI,0.361
5,Malta,MLT,0.978
190,Myanmar,MMR,0.138
145,Mongolia,MNG,0.483
184,Mozembique,MOZ,0.26
162,Mauritania,MRT,0.384
84,Mauritius,MUS,0.691
185,Malawi,MWI,0.251
49,Malaysia,MYS,0.802
168,Namibia,NAM,0.34
170,Niger,NER,0.337
187,Nigeria,NGA,0.176
71,Nicaragua,NIC,0.733
121,Niue,NIU,0.584
17,Netherlands,NLD,0.928
11,Norway,NOR,0.955
150,Nepal,NPL,0.457
98,Nauru,NRU,0.647
41,New Zealand,NZL,0.827
8,Oman,OMN,0.961
122,Pakistan,PAK,0.583
95,Panama,PAN,0.656
129,Peru,PER,0.547
60,Philippines,PHL,0.755
82,Palau,PLW,0.7
148,Papua New Guinea,PNG,0.467
50,Poland,POL,0.793
167,Democratic People's Republic of Korea,PRK,0.353
12,Portugal,PRT,0.945
57,Paraguay,PRY,0.761
44,Qatar,QAT,0.812
99,Romania,ROU,0.645
130,Russian Federation,RUS,0.544
172,Rwanda,RWA,0.327
26,Saudi Arabia,SAU,0.894
134,Sudan,SDN,0.524
59,Senegal,SEN,0.756
6,Singapore,SGP,0.973
80,Solomon Islands,SLB,0.705
191,Sierra Leone,SLE,0
115,El Salvador,SLV,0.608
3,San Marino,SMR,0.988
179,Somalia,SOM,0.286
106,Yugoslavia,SRB,0.629
133,Sao Tome and Principe,STP,0.535
110,Suriname,SUR,0.623
62,Slovakia,SVK,0.754
38,Slovenia,SVN,0.838
23,Sweden,SWE,0.908
177,Swaziland,SWZ,0.305
56,Seychelles,SYC,0.773
108,Syrian Arab Republic,SYR,0.628
178,Chad,TCD,0.303
152,Togo,TGO,0.449
47,Thailand,THA,0.807
154,Tajikistan,TJK,0.428
153,Turkmenistan,TKM,0.443
116,Tonga,TON,0.607
67,Trinidad and Tobago,TTO,0.742
52,Tunisia,TUN,0.785
70,Turkey,TUR,0.734
136,Tuvalu,TUV,0.518
156,United Republic of Tanzania,TZA,0.422
149,Uganda,UGA,0.464
79,Ukraine,UKR,0.708
65,Uruguay,URY,0.745
37,United States of America,USA,0.838
117,Uzbekistan,UZB,0.599
74,Saint Vincent and the Grenadines,VCT,0.722
54,Venezuela,VEN,0.775
160,Vietnam,VNM,0.393
127,Vanuatu,VUT,0.559
119,Samoa,WSM,0.589
120,Yemen,YEM,0.587
175,South Africa,ZAF,0.319
182,Zambia,ZMB,0.269
155,Zimbabwe,ZWE,0.427
